Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
foliar C13 composition,foliar C13 composition,0,composition,carbon,,carbon,foliar C13 composition,,,,,CB
foliar carbon,foliar carbon,0,composition,carbon,,carbon,foliar carbon,,,,,CB
leaf C,leaf C,0,composition,carbon,,carbon,leaf C,,,,,CB
leaf C content,leaf C content,0,composition,carbon,,carbon,leaf C content,,,,,CB
leaf C dry mah percentage,leaf C dry mah percentage,0,composition,carbon,,carbon,leaf C dry mah percentage,,,,,CB
leaf C isotope ratio,leaf C isotope ratio,0,composition,carbon,,carbon,leaf C isotope ratio,,,,,CB
leaf C13,leaf C13,0,composition,carbon,,carbon,leaf C13,,,,,CB
leaf C13 composition,leaf C13 composition,0,composition,carbon,,carbon,leaf C13 composition,,,,,CB
leaf carbon concentration,leaf carbon concentration,0,composition,carbon,,carbon,leaf carbon concentration,,,,,CB
leaf carbon isotopic discrimination,leaf carbon isotopic discrimination,0,composition,carbon,,carbon,leaf carbon isotopic discrimination,,,,,CB
leaf carbon isotopic ratio,leaf carbon isotopic ratio,0,composition,carbon,,carbon,leaf carbon isotopic ratio,,,,,CB
leaf carbon mass per unit area,leaf carbon mass per unit area,0,composition,carbon,,carbon,leaf carbon mass per unit area,,,,,CB
leaf carbon per mass,leaf carbon per mass,0,composition,carbon,,carbon,leaf carbon per mass,,,,,CB
mean leaf C concentration,mean leaf C concentration,0,composition,carbon,,carbon,mean leaf C concentration,,,1,should all the elements maybe become tertiary and another secondary category like 'element' or something be created?,CB
mean leaf C isotope ratio,mean leaf C isotope ratio,0,composition,carbon,,carbon,mean leaf C isotope ratio,,,,,CB
potential C mineralization,potential C mineralization,0,composition,carbon,,carbon,potential C mineralization,,,,,CB
root C content,root C content,0,composition,carbon,,carbon,root C content,,,,,CB
root C:N ratio,root C:N ratio,0,composition,carbon,,carbon,root C:N ratio,,,,,CB
root carbon,root carbon,0,composition,carbon,,carbon,root carbon,,,,,CB
root conentrations of C,root concentrations of C,0,composition,carbon,,carbon,root concentrations of C,,,,,CB
soluble C,soluble C,0,composition,carbon,,carbon,soluble C,,,,,CB
stable isotope mean of C values,stable isotope mean of C values,0,composition,carbon,,carbon,stable isotope mean of C values,,,,,CB
cell biovolumn,cell biovolume,0,morphology,cell biovolume,,cell biovolume,cell biovolume,,1,typo,,NH
cellulose %,cellulose %,0,composition,cellulose,,cellulose,cellulose %,,,,,CB
hemicellulose %,hemicellulose %,0,composition,cellulose,,cellulose,hemicellulose %,,,,,CB
chemcial composition,chemical composition,0,composition,chemcial composition,,chemcial composition,chemical composition,,,,,CB
chemical structural-compositional similarity,chemical structural-compositional similarity,0,composition,chemcial composition,,chemcial composition,chemical structural-compositional similarity,,,,,CB
chl a b anc total concentrations,chl a b anc total concentrations,0,composition,chlorophyll,,chlorophyll,chl a b anc total concentrations,,,,,CB
chlorophyll a:b ratio,chlorophyll a:b ratio,0,composition,chlorophyll,,chlorophyll,chlorophyll a:b ratio,,,,,CB
chlorophyll b,chlorophyll b,0,composition,chlorophyll,,chlorophyll,chlorophyll b,,,,,CB
chlorphyll a,chlorophyll a,0,composition,chlorophyll,,chlorophyll,chlorophyll a,,,,,CB
laminar total chlorophyll,laminar total chlorophyll,0,composition,chlorophyll,,chlorophyll,laminar total chlorophyll,,,,,CB
leaf chlorophyll content,leaf chlorophyll content,0,composition,chlorophyll,,chlorophyll,leaf chlorophyll content,,,,,CB
total cholorphyll,total chlorophyll,0,composition,chlorophyll,,chlorophyll,total chlorophyll,,,,,CB
root conentrations of Co,root concentrations of Co,0,composition,cobalt,,cobalt,root concentrations of Co,,,,,CB
colonization,colonization,0,activity,colonization,,colonization,colonization,,,,,CB
colonization ability,colonization ability,0,activity,colonization,,colonization,colonization ability,,,,,CB
colonization rates,colonization rates,0,activity,colonization,,colonization,colonization rates,,,,,CB
colony formation,colony formation,0,activity,colony attributes,,colony attributes,colony formation,,,,,CB
colony foundation type,colony foundation type,0,activity,colony attributes,,colony attributes,colony foundation type,,,,,CB
colony growth form,colony growth form,0,activity,colony attributes,,colony attributes,colony growth form,,,,,CB
colony size,colony size,0,activity,colony attributes,,colony attributes,colony size,,,,,CB
maximum colony size,maximum colony size,0,activity,colony attributes,,colony attributes,maximum colony size,,,,,CB
solitary colony formation,solitary colony formation,0,activity,colony attributes,,colony attributes,solitary colony formation,,,,,CB
dorsoventral pigmentation gradient,dorsoventral pigmentation gradient,0,morphology,coloration,countershading,countershading,countershading,,1,NH: sounds a lot like countershading. Interestingly I can't find countershading in here. But this covers that.,,NH
pigment fluoresence,pigment fluorescence,0,morphology,coloration,fluoresence,fluoresence,fluorescence,,,,,NH
pigment packaging,pigment packaging,0,morphology,coloration,fluoresence,fluoresence,fluorescence,,,,,NH
pigmentation,pigmentation,0,morphology,coloration,fluoresence,fluoresence,fluorescence,,,,,NH
pigmentation on fish body,pigmentation on fish body,0,morphology,coloration,fluoresence,fluoresence,fluorescence,,,,,NH
antero posterior pigmentation gradient,antero posterior pigmentation gradient,0,morphology,coloration,,coloration,antero posterior pigmentation gradient,,,,,NH
aposematism,aposematism,0,morphology,coloration,,coloration,aposematism,,,,,NH
body colour luminance,body colour luminance,0,morphology,coloration,,coloration,body colour luminance,,,,,NH
carotenoids,carotenoids,0,morphology,coloration,,coloration,carotenoids,,1,NH: suggesting tertiary =,,NH
circumperineal coloration,circumperineal coloration,0,morphology,coloration,,coloration,circumperineal coloration,,,,,NH
color,color,0,morphology,coloration,,coloration,color,,1,"NH: Ugh, Americans, always causing problems with spelling, dates and measurements eh. Anyways, this is a duplicate.",,NH
coloration,coloration,0,morphology,coloration,,coloration,coloration,,,,,NH
colour,colour,0,morphology,coloration,,coloration,colour,,1,"NH: combine ""color"" with ""colour""",,NH
colour pattern,colour pattern,0,morphology,coloration,,coloration,colour pattern,,,,,NH
colour patterning,colour patterning,0,morphology,coloration,,coloration,colour patterning,,,,,NH
diaspore colour,diaspore colour,0,morphology,coloration,,coloration,diaspore colour,,,,,NH
dichromatism,dichromatism,0,morphology,coloration,,coloration,dichromatism,,,,,NH
dominant pigment type,dominant pigment type,0,morphology,coloration,,coloration,dominant pigment type,,,,,NH
dorsal coloration,dorsal coloration,0,morphology,coloration,,coloration,dorsal coloration,,1,"NH: duplicates ""dorsal coloration"" and ""dorsal colour pattern""",,NH
dorsal colour pattern,dorsal colour pattern,0,morphology,coloration,,coloration,dorsal colour pattern,,,,,NH
flank-stripe pattern,flank-stripe pattern,0,morphology,coloration,,coloration,flank-stripe pattern,,,,,NH
floral colour,floral colour,0,morphology,coloration,,coloration,floral colour,,,,,NH
larval colouration,larval colouration,0,morphology,coloration,,coloration,larval colouration,,,,,NH
measure of bib size,measure of bib size,0,morphology,coloration,,coloration,measure of bib size,,,,,NH
melanism,melanism,0,morphology,coloration,,coloration,melanism,,,,,NH
number of colours,number of colours,0,morphology,coloration,,coloration,number of colours,,,,,NH
peroth color,peroth color,0,morphology,coloration,,coloration,peroth color,,,,,NH
photophores,photophores,0,morphology,coloration,,coloration,photophores,,1,colouration/reproduction,secondary,NH
presence of color in the carapace,presence of color in the carapace,0,morphology,coloration,,coloration,presence of color in the carapace,,,,,NH
spectral reflectance,spectral reflectance,0,morphology,coloration,,coloration,spectral reflectance,,,,,NH
transparency,transparency,0,morphology,coloration,,coloration,transparency,,1,colouration,secondary,NH
brown mark patterns lateral on stripes,brown mark patterns lateral on stripes,0,morphology,coloration,,coloration,brown mark patterns lateral on stripes,,1,colouration,secondary,NH
establishment strategy,establishment strategy,1,growth,competitive ability,,competitive ability,establishment strategy,,,,,CB
loss to weed competition,loss to weed competition,1,growth,competitive ability,,competitive ability,loss to weed competition,,,,,CB
territoriality,territoriality,0,resource acquisition,competitive ability,territoriality,territoriality,territoriality,,,,,NH
territory density,territory density,0,resource acquisition,competitive ability,territoriality,territoriality,territoriality,,,,,NH
territory size,territory size,0,resource acquisition,competitive ability,territoriality,territoriality,territoriality,,,,,NH
competition ability,competition ability,0,resource acquisition,competitive ability,,competitive ability,competition ability,,,,,NH
competition sensitive traits,competition sensitive traits,0,resource acquisition,competitive ability,,competitive ability,competition sensitive traits,,,,,NH
competitive ability,competitive ability,0,resource acquisition,competitive ability,,competitive ability,competitive ability,,,,,NH
competitor-stress-tolerator-ruderal scheme,competitor-stress-tolerator-ruderal scheme,0,resource acquisition,competitive ability,,competitive ability,competitor-stress-tolerator-ruderal scheme,,,,,NH
consumer competition range,consumer competition range,0,resource acquisition,competitive ability,,competitive ability,consumer competition range,,,,,NH
consumer competition strength,consumer competition strength,0,resource acquisition,competitive ability,,competitive ability,consumer competition strength,,,,,NH
dominance,dominance,0,resource acquisition,competitive ability,,competitive ability,dominance,,,,,NH
functional response to interspecific competition,functional response to interspecific competition,0,resource acquisition,competitive ability,,competitive ability,functional response to interspecific competition,,,,,NH
min space requirement,min space requirement,0,resource acquisition,competitive ability,,competitive ability,min space requirement,,,,,NH
other native enemeies present,other native enemeies present,0,resource acquisition,competitive ability,,competitive ability,other native enemeies present,,,,,NH
overgrowth resistance,overgrowth resistance,0,resource acquisition,competitive ability,,competitive ability,overgrowth resistance,,,,,NH
resource competition range,resource competition range,0,resource acquisition,competitive ability,,competitive ability,resource competition range,,,,,NH
